Place,State,Type,Counties,Population,Latitude,Longitude
Arlington,VA,Census-Designated Place,,238643,38.89051056,-77.08628845
Enterprise,NV,Census-Designated Place,,221831,36.02421951,-115.2400894
Spring Valley,NV,Census-Designated Place,,215597,36.11412811,-115.2428665
Sunrise Manor,NV,Census-Designated Place,,205618,36.18149948,-115.0430374
Paradise,NV,Census-Designated Place,,191238,36.08641052,-115.1089401
Metairie,LA,Census-Designated Place,,143507,,
East Los Angeles,CA,Census-Designated Place,,118786,,
Brandon,FL,Census-Designated Place,,114626,,
The Woodlands,TX,Census-Designated Place,,114436,,
Lehigh Acres,FL,Census-Designated Place,,114287,,
Spring Hill,FL,Census-Designated Place,,113568,,
Riverview,FL,Census-Designated Place,,107396,,
Columbia,MD,Census-Designated Place,,104681,,
Highlands Ranch,CO,Census-Designated Place,,103444,,
San Tan Valley,AZ,Census-Designated Place,,99894,,
Arden-Arcade,CA,Census-Designated Place,,94659,,
Toms River,NJ,Census-Designated Place,,92830,,
Alafaya,FL,Census-Designated Place,,92452,,
Germantown,MD,Census-Designated Place,,91249,,
Atascocita,TX,Census-Designated Place,,88174,,
Town 'n' Country,FL,Census-Designated Place,,85951,,
Waldorf,MD,Census-Designated Place,,81410,,
Silver Spring,MD,Census-Designated Place,,81015,,
Kendall,FL,Census-Designated Place,,80241,,
Carmichael,CA,Census-Designated Place,,79793,,
The Villages,FL,Census-Designated Place,,79077,,
Cheektowaga,NY,Census-Designated Place,,76829,,
Ellicott City,MD,Census-Designated Place,,75947,,
Centreville,VA,Census-Designated Place,,73518,,
Glen Burnie,MD,Census-Designated Place,,72891,,
Dale City,VA,Census-Designated Place,,72088,,
Casas Adobes,AZ,Census-Designated Place,,70973,,
Lakewood,NJ,Census-Designated Place,,69398,,
Poinciana,FL,Census-Designated Place,,69309,,
Bethesda,MD,Census-Designated Place,,68056,,
Dundalk,MD,Census-Designated Place,,67796,,
Castro Valley,CA,Census-Designated Place,,66441,,
Pine Hills,FL,Census-Designated Place,,66111,,
Wesley Chapel,FL,Census-Designated Place,,64866,,
South Hill,WA,Census-Designated Place,,64708,,
West Hartford,CT,Census-Designated Place,,64083,,
Reston,VA,Census-Designated Place,,63226,,
Brookline,MA,Census-Designated Place,,63191,,
Spring,TX,Census-Designated Place,,62559,,
Brentwood,NY,Census-Designated Place,,62387,,
Florence-Graham,CA,Census-Designated Place,,61983,,
Palm Harbor,FL,Census-Designated Place,,61366,,
Port Charlotte,FL,Census-Designated Place,,60625,,
Fountainebleau,FL,Census-Designated Place,,59870,,
Towson,MD,Census-Designated Place,,59553,,
The Hammocks,FL,Census-Designated Place,,59480,,
Horizon West,FL,Census-Designated Place,,58101,,
Bel Air South,MD,Census-Designated Place,,57648,,
Tonawanda Town,NY,Census-Designated Place,,57431,,
Severn,MD,Census-Designated Place,,57118,,
South Whittier,CA,Census-Designated Place,,56415,,
Westchester,FL,Census-Designated Place,,56384,,
Four Corners,FL,Census-Designated Place,,56381,,
Kendale Lakes,FL,Census-Designated Place,,55646,,
Tamiami,FL,Census-Designated Place,,54212,,
Hacienda Heights,CA,Census-Designated Place,,54191,,
Aloha,OR,Census-Designated Place,,53828,,
Levittown,PA,Census-Designated Place,,52699,,
Catalina Foothills,AZ,Census-Designated Place,,52401,,
Florin,CA,Census-Designated Place,,52388,,
Wheaton,MD,Census-Designated Place,,52150,,
Levittown,NY,Census-Designated Place,,51758,,
